1,0.684,Chisinau,Moldova,47.42N,29.61E
1909-11-01,3.536,0.38,Chisinau,Moldova,47.42N,29.61E
1909-12-01,0.598,0.5379999999999999,Chisinau,Moldova,47.42N,29.61E
1910-01-01,-2.519,0.89,Chisinau,Moldova,47.42N,29.61E
1910-02-01,1.1879999999999995,0.302,Chisinau,Moldova,47.42N,29.61E
1910-03-01,2.544,0.42100000000000004,Chisinau,Moldova,47.42N,29.61E
1910-04-01,9.368,0.413,Chisinau,Moldova,47.42N,29.61E
1910-05-01,15.735,0.40700000000000003,Chisinau,Moldova,47.42N,29.61E
1910-06-01,19.71,0.307,Chisinau,Moldova,47.42N,29.61E
1910-07-01,20.538,0.409,Chisinau,Moldova,47.42N,29.61E
1910-08-01,19.406,0.368,Chisinau,Moldova,47.42N,29.61E
1910-09-01,15.629000000000001,0.222,Chisinau,Moldova,47.42N,29.61E
1910-10-01,7.66,0.298,Chisinau,Moldova,47.42N,29.61E
1910-11-01,4.6819999999999995,0.319,Chisinau,Moldova,47.42N,29.61E
1910-12-01,0.4699999999999999,0.958,Chisinau,Moldova,47.42N,29.61E
1911-01-01,-4.343,0.475,Chisinau,Moldova,47.42N,29.61E
1911-02-01,-8.767999999999999,0.705,Chisinau,Moldova,47.42N,29.61E
1911-03-01,0.4310000000000001,0.5589999999999999,Chisinau,Moldova,47.42N,29.61E
1911-04-01,8.214,0.364,Chisinau,Moldova,47.42N,29.61E
1911-05-01,16.73,0.278,Chisinau,Moldova,47.42N,29.61E
1911-06-01,17.42,0.39299999999999996,Chisinau,Moldova,47.42N,29.61E
1911-07-01,19.72,0.451,Chisinau,Moldova,47.42N,29.61E
1911-08-01,20.131,0.523,Chisinau,Moldova,47.42N,29.61E
1911-09-01,14.66,0.419,Chisinau,Moldova,47.42N,29.61E
1911-10-01,10.128,0.462,Chisinau,Moldova,47.42N,29.61E
1911-11-01,5.396,0.37,Chisinau,Moldova,47.42N,29.61E
1911-12-01,-2.14,0.732,Chisinau,Moldova,47.42N,29.61E
1912-01-01,-7.580999999999999,0.772,Chisinau,Moldova,47.42N,29.61E
1912-02-01,-2.526,0.514,Chisinau,Moldova,47.42N,29.61E
1912-03-01,4.492,0.565,Chisinau,Moldova,47.42N,29.61E
1912-04-01,6.851000000000001,0.45899999999999996,Chisinau,Moldova,47.42N,29.61E
1912-05-01,12.515999999999998,0.35200000000000004,Chisinau,Moldova,47.42N,29.61E
1912-06-01,18.993,0.353,Chisinau,Moldova,47.42N,29.61E
1912-07-01,18.791,0.267,Chisinau,Moldova,47.42N,29.61E
1912-08-01,18.78,0.34,Chisinau,Moldova,47.42N,29.61E
1912-09-01,13.657,0.425,Chisinau,Moldova,47.42N,29.61E
1912-10-01,5.131,0.6729999999999999,Chisinau,Moldova,47.42N,29.61E
1912-11-01,2.501,0.315,Chisinau,Moldova,47.42N,29.61E
1912-12-01,1.319,0.8140000000000001,Chisinau,Moldova,47.42N,29.61E
1913-01-01,-3.824,0.309,Chisinau,Moldova,47.42N,29.61E
1913-02-01,-3.1660000000000004,0.33399999999999996,Chisinau,Moldova,47.42N,29.61E
1913-03-01,5.257000000000001,0.44,Chisinau,Moldova,47.42N,29.61E
1913-04-01,10.173,0.349,Chisinau,Moldova,47.42N,29.61E
1913-05-01,13.637,0.33899999999999997,Chisinau,Moldova,47.42N,29.61E
1913-06-01,17.049,0.309,Chisinau,Moldova,47.42N,29.61E
1913-07-01,18.967,0.325,Chisinau,Moldova,47.42N,29.61E
1913-08-01,19.658,0.5529999999999999,Chisinau,Moldova,47.42N,29.61E
1913-09-01,16.122,0.45899999999999996,Chisinau,Moldova,47.42N,29.61E
1913-10-01,8.940999999999997,0.429,Chisinau,Moldova,47.42N,29.61E
1913-11-01,4.625,0.287,Chisinau,Moldova,47.42N,29.61E
1913-12-01,1.1390000000000002,0.9109999999999999,Chisinau,Moldova,47.42N,29.61E
1914-01-01,-5.2860000000000005,0.6779999999999999,Chisinau,Moldova,47.42N,29.61E
1914-02-01,0.8659999999999997,0.6679999999999999,Chisinau,Moldova,47.42N,29.61E
1914-03-01,5.182,0.381,Chisinau,Moldova,47.42N,29.61E
1914-04-01,9.796,0.39899999999999997,Chisinau,Moldova,47.42N,29.61E
1914-05-01,15.213,0.65,Chisinau,Moldova,47.42N,29.61E
1914-06-01,19.014,0.425,Chisinau,Moldova,47.42N,29.61E
1914-07-01,21.206,0.36700000000000005,Chisinau,Moldova,47.42N,29.61E
1914-08-01,18.867,0.518,Chisinau,Moldova,47.42N,29.61E
1914-09-01,13.155,0.41,Chisinau,Moldova,47.42N,29.61E
1914-10-01,7.712999999999999,0.41,Chisinau,Moldova,47.42N,29.61E
1914-11-01,-0.7410000000000001,0.512,Chisinau,Moldova,47.42N,29.61E
1914-12-01,-0.5529999999999999,0.685,Chisinau,Moldova,47.42N,29.61E
1915-01-01,-0.3209999999999997,0.7829999999999999,Chisinau,Moldova,47.42N,29.61E
1915-02-01,-1.2180000000000002,0.5770000000000001,Chisinau,Moldova,47.42N,29.61E
1915-03-01,0.542,0.305,Chisinau,Moldova,47.42N,29.61E
1915-04-01,9.119,0.285,Chisinau,Moldova,47.42N,29.61E
1915-05-01,14.295,0.609,Chisinau,Moldova,47.42N,29.61E
1915-06-01,19.226,0.35100000000000003,Chisinau,Moldova,47.42N,29.61E
1915-07-01,21.708000000000002,0.43799999999999994,Chisinau,Moldova,47.42N,29.61E
1915-08-01,18.38,0.337,Chisinau,Moldova,47.42N,29.61E
1915-09-01,13.893,0.382,Chisinau,Moldova,47.42N,29.61E
1915-10-01,7.93,0.36200000000000004,Chisinau,Moldova,47.42N,29.61E
1915-11-01,2.763,0.353,Chisinau,Moldova,47.42N,29.61E
1915-12-01,1.5,0.619,Chisinau,Moldova,47.42N,29.61E
1916-01-01,-1.0449999999999997,0.28800000000000003,Chisinau,Moldova,47.42N,29.61E
1916-02-01,-0.02300000000000013,0.645,Chisinau,Moldova,47.42N,29.61E
1916-03-01,3.778,0.546,Chisinau,Moldova,47.42N,29.61E
1916-04-01,9.644,0.35600000000000004,Chisinau,Moldova,47.42N,29.61E
1916-05-01,13.983,0.5329999999999999,Chisinau,Moldova,47.42N,29.61E
1916-06-01,18.424,0.33899999999999997,Chisinau,Moldova,47.42N,29.61E
1916-07-01,20.469,0.33299999999999996,Chisinau,Moldova,47.42N,29.61E
1916-08-01,18.993,0.266,Chisinau,Moldova,47.42N,29.61E
1916-09-01,14.122,0.4,Chisinau,Moldova,47.42N,29.61E
1916-10-01,9.847000000000001,0.469,Chisinau,Moldova,47.42N,29.61E
1916-11-01,3.997,0.248,Chisinau,Moldova,47.42N,29.61E
1916-12-01,0.31399999999999995,0.445,Chisinau,Moldova,47.42N,29.61E
1917-01-01,-3.247,0.5579999999999999,Chisinau,Moldova,47.42N,29.61E
1917-02-01,-8.495000000000001,0.693,Chisinau,Moldova,47.42N,29.61E
1917-03-01,-0.3859999999999999,0.483,Chisinau,Moldova,47.42N,29.61E
1917-04-01,9.504,0.615,Chisinau,Moldova,47.42N,29.61E
1917-05-01,13.502,0.319,Chisinau,Moldova,47.42N,29.61E
1917-06-01,19.423,0.354,Chisinau,Moldova,47.42N,29.61E
1917-07-01,19.888,0.501,Chisinau,Moldova,47.42N,29.61E
1917-08-01,21.378,0.5429999999999999,Chisinau,Moldova,47.42N,29.61E
1917-09-01,15.666,0.484,Chisinau,Moldova,47.42N,29.61E
1917-10-01,10.935,0.49200000000000005,Chisinau,Moldova,47.42N,29.61E
1917-11-01,6.1400000000000015,0.493,Chisinau,Moldova,47.42N,29.61E
1917-12-01,-2.9989999999999997,0.374,Chisinau,Moldova,47.42N,29.61E
1918-01-01,-0.8559999999999994,0.45,Chisinau,Moldova,47.42N,29.61E
1918-02-01,-1.0690000000000002,0.606,Chisinau,Moldova,47.42N,29.61E
1918-03-01,2.0180000000000002,0.509,Chisinau,Moldova,47.42N,29.61E
1918-04-01,9.85,0.31,Chisinau,Moldova,47.42N,29.61E
1918-05-01,13.627,0.503,Chisinau,Moldova,47.42N,29.61E
1918-06-01,17.805999999999997,0.43799999999999994,Chisinau,Moldova,47.42N,29.61E
1918-07-01,20.235,0.327,Chisinau,Moldova,47.42N,29.61E
1918-08-01,19.358,0.278,Chisinau,Moldova,47.42N,29.61E
1918-09-01,17.968,0.27,Chisinau,Moldova,47.42N,29.61E
1918-10-01,13.625,0.805,Chisinau,Moldova,47.42N,29.61E
1918-11-01,2.2030000000000003,0.963,Chisinau,Moldova,47.42N,29.61E
1918-12-01,-0.19400000000000006,0.541,Chisinau,Moldova,47.42N,29.61E
1919-01-01,-1.6589999999999998,0.856,Chisinau,Moldova,47.42N,29.61E
1919-02-01,-3.0039999999999996,0.552,Chisinau,Moldova,47.42N,29.61E
1919-03-01,2.434,0.446,Chisinau,Moldova,47.42N,29.61E
1919-04-01,10.335,0.6970000000000001,Chisinau,Moldova,47.42N,29.61E
1919-05-01,11.542,0.251,Chisinau,Moldova,47.42N,29.61E
1919-06-01,17.545,0.802,Chisinau,Moldova,47.42N,29.61E
1919-07-01,20.073,0.516,Chisinau,Moldova,47.42N,29.61E
1919-08-01,18.665,0.54,Chisinau,Moldova,47.42N,29.61E
1919-09-01,17.831,0.46399999999999997,Chisinau,Moldova,47.42N,29.61E
1919-10-01,9.239,0.6609999999999999,Chisinau,Moldova,47.42N,29.61E
1919-11-01,1.493,0.326,Chisinau,Moldova,47.42N,29.61E
1919-12-01,-1.354,0.6,Chisinau,Moldova,47.42N,29.61E
1920-01-01,-2.3930000000000002,0.565,Chisinau,Moldova,47.42N,29.61E
1920-02-01,-4.7650000000000015,0.76,Chisinau,Moldova,47.42N,29.61E
1920-03-01,3.81,0.526,Chisinau,Moldova,47.42N,29.61E
1920-04-01,12.091,0.688,Chisinau,Moldova,47.42N,29.61E
1920-05-01,17.108,0.62,Chisinau,Moldova,47.42N,29.61E
1920-06-01,18.108,0.217,Chisinau,Moldova,47.42N,29.61E
1920-07-01,22.516,0.847,Chisinau,Moldova,47.42N,29.61E
1920-08-01,21.372,0.331,Chisinau,Moldova,47.42N,29.61E
1920-09-01,15.325,0.419,Chisinau,Moldova,47.42N,29.61E
1920-10-01,3.806,0.5820000000000001,Chisinau,Moldova,47.42N,29.61E
1920-11-01,-2.169,0.593,Chisinau,Moldova,47.42N,29.61E
1920-12-01,-3.6310000000000002,1.205,Chisinau,Moldova,47.42N,29.61E
1921-01-01,0.5460000000000003,0.336,Chisinau,Moldova,47.42N,29.61E
1921-02-01,-5.949,0.912,Chisinau,Moldova,47.42N,29.61E
1921-03-01,4.29,0.574,Chisinau,Moldova,47.42N,29.61E
1921-04-01,9.704,0.373,Chisinau,Moldova,47.42N,29.61E
1921-05-01,17.705,0.486,Chisinau,Moldova,47.42N,29.61E
1921-06-01,18.456,0.467,Chisinau,Moldova,47.42N,29.61E
1921-07-01,20.91,0.355,Chisinau,Moldova,47.42N,29.61E
1921-08-01,21.629,0.18899999999999997,Chisinau,Moldova,47.42N,29.61E
1921-09-01,13.437000000000001,0.389,Chisinau,Moldova,47.42N,29.61E
1921-10-01,8.413,0.319,Chisinau,Moldova,47.42N,29.61E
1921-11-01,0.34799999999999986,0.644,Chisinau,Moldova,47.42N,29.61E
1921-12-01,-3.942,0.602,Chisinau,Moldova,47.42N,29.61E
1922-01-01,-6.308,1.008,Chisinau,Moldova,47.42N,29.61E
1922-02-01,-3.783,0.39,Chisinau,Moldova,47.42N,29.61E
1922-03-01,4.777,0.301,Chisinau,Moldova,47.42N,29.61E
1922-04-01,8.21,0.358,Chisinau,Moldova,47.42N,29.61E
1922-05-01,15.585,0.6559999999999999,Chisinau,Moldova,47.42N,29.61E
1922-06-01,19.014,0.324,Chisinau,Moldova,47.42N,29.61E
1922-07-01,22.364,0.483,Chisinau,Moldova,47.42N,29.61E
1922-08-01,20.172,0.441,Chisinau,Moldova,47.42N,29.61E
1922-09-01,14.254000000000001,0.556,Chisinau,Moldova,47.42N,29.61E
1922-10-01,7.037999999999999,0.56,Chisinau,Moldova,47.42N,29.61E
1922-11-01,2.249,0.424,Chisinau,Moldova,47.42N,29.61E
1922-12-01,-1.8,0.47100000000000003,Chisinau,Moldova,47.42N,29.61E
1923-01-01,-1.7829999999999997,0.469,Chisinau,Moldova,47.42N,29.61E
1923-02-01,-4.865,1.1,Chisinau,Moldova,47.42N,29.61E
1923-03-01,3.124,0.433,Chisinau,Moldova,47.42N,29.61E
1923-04-01,7.622000000000001,0.41200000000000003,Chisinau,Moldova,47.42N,29.61E
1923-05-01,18.069000000000003,0.643,Chisinau,Moldova,47.42N,29.61E
1923-06-01,18.018,0.40700000000000003,Chisinau,Moldova,47.42N,29.61E
1923-07-01,20.693,0.217,Chisinau,Moldova,47.42N,29.61E
1923-08-01,18.593,0.379,Chisinau,Moldova,47.42N,29.61E
1923-09-01,17.413,0.237,Chisinau,Moldova,47.42N,29.61E
1923-10-01,12.571,0.48700000000000004,Chisinau,Moldova,47.42N,29.61E
1923-11-01,8.918,0.634,Chisinau,Moldova,47.42N,29.61E
1923-12-01,-0.742,0.6459999999999999,Chisinau,Moldova,47.42N,29.61E
1924-01-01,-9.739999999999998,0.892,Chisinau,Moldova,47.42N,29.61E
1924-02-01,-4.703,0.292,Chisinau,Moldova,47.42N,29.61E
1924-03-01,-0.385,0.445,Chisinau,Moldova,47.42N,29.61E
1924-04-01,7.691000000000002,0.321,Chisinau,Moldova,47.42N,29.61E
1924-05-01,17.801,0.47600000000000003,Chisinau,Moldova,47.42N,29.61E
1924-06-01,22.064,0.439,Chisinau,Moldova,47.42N,29.61E
1924-07-01,20.527,0.568,Chisinau,Moldova,47.42N,29.61E
1924-08-01,20.383,0.21100000000000002,Chisinau,Moldova,47.42N,29.61E
1924-09-01,18.913,0.474,Chisinau,Moldova,47.42N,29.61E
1924-10-01,9.419,0.251,Chisinau,Moldova,47.42N,29.61E
1924-11-01,1.5530000000000002,0.28800000000000003,Chisinau,Moldova,47.42N,29.61E
1924-12-01,-3.38,0.45,Chisinau,Moldova,47.42N,29.61E
1925-01-01,-0.5809999999999995,0.7509999999999999,Chisinau,Moldova,47.42N,29.61E
1925-02-01,3.181,0.634,Chisinau,Moldova,47.42N,29.61E
1925-03-01,4.011,0.38299999999999995,Chisinau,Moldova,47.42N,29.61E
1925-04-01,9.491,0.302,Chisinau,Moldova,47.42N,29.61E
1925-05-01,16.232,0.489,Chisinau,Moldova,47.42N,29.61E
1925-06-01,16.785,0.53,Chisinau,Moldova,47.42N,29.61E
1925-07-01,21.232,0.457,Chisinau,Moldova,47.42N,29.61E
1925-08-01,19.859,0.552,Chisinau,Moldova,47.42N,29.61E
1925-09-01,14.762,0.48,Chisinau,Moldova,47.42N,29.61E
1925-10-01,9.161,0.34600000000000003,Chisinau,Moldova,47.42N,29.61E
1925-11-01,5.457000000000001,0.264,Chisinau,Moldova,47.42N,29.61E
1925-12-01,-3.2560000000000002,0.5870000000000001,Chisinau,Moldova,47.42N,29.61E
1926-01-01,-4.239999999999998,0.431,Chisinau,Moldova,47.42N,29.61E
1926-02-01,-2.756,0.309,Chisinau,Moldova,47.42N,29.61E
1926-03-01,0.442,0.19,Chisinau,Moldova,47.42N,29.61E
1926-04-01,10.067,0.662,Chisinau,Moldova,47.42N,29.61E
1926-05-01,15.469000000000001,0.275,Chisinau,Moldova,47.42N,29.61E
1926-06-01,18.988,0.299,Chisinau,Moldova,47.42N,29.61E
1926-07-01,21.478,0.43799999999999994,Chisinau,Moldova,47.42N,29.61E
1926-08-01,17.796,0.47700000000000004,Chisinau,Moldova,47.42N,29.61E
1926-09-01,14.531,0.267,Chisinau,Moldova,47.42N,29.61E
1926-10-01,10.217,0.5,Chisinau,Moldova,47.42N,29.61E
1926-11-01,7.8130000000000015,0.488,Chisinau,Moldova,47.42N,29.61E
1926-12-01,-1.187,0.22899999999999998,Chisinau,Moldova,47.42N,29.61E
1927-01-01,-4.542999999999998,0.5710000000000001,Chisinau,Moldova,47.42N,29.61E
1927-02-01,-5.4910000000000005,0.267,Chisinau,Moldova,47.42N,29.61E
1927-03-01,4.604,0.33299999999999996,Chisinau,Moldova,47.42N,29.61E
1927-04-01,9.333,0.46,Chisinau,Moldova,47.42N,29.61E
1927-05-01,14.258,0.509,Chisinau,Moldova,47.42N,29.61E
1927-06-01,20.546,0.444,Chisinau,Moldova,47.42N,29.61E
1927-07-01,21.67,0.32899999999999996,Chisinau,Moldova,47.42N,29.61E
1927-08-01,22.261999999999997,0.397,Chisinau,Moldova,47.42N,29.61E
1927-09-01,18.281,0.478,Chisinau,Moldova,47.42N,29.61E
1927-10-01,10.738,0.184,Chisinau,Moldova,47.42N,29.61E
1927-11-01,4.228,0.28300000000000003,Chisinau,Moldova,47.42N,29.61E
1927-12-01,-7.351,0.5479999999999999,Chisinau,Moldova,47.42N,29.61E
1928-01-01,-4.715,0.20199999999999999,Chisinau,Moldova,47.42N,29.61E
1928-02-01,-6.407,0.337,Chisinau,Moldova,47.42N,29.61E
1928-03-01,-2.023,0.603,Chisinau,Moldova,47.42N,29.61E
1928-04-01,9.199,0.51,Chisinau,Moldova,47.42N,29.61E
1928-05-01,14.173,0.33799999999999997,Chisinau,Moldova,47.42N,29.61E
1928-06-01,17.047,0.695,Chisinau,Moldova,47.42N,29.61E
1928-07-01,22.113000000000003,0.667,Chisinau,Moldova,47.42N,29.61E
1928-08-01,19.271,0.627,Chisinau,Moldova,47.42N,29.61E
1928-09-01,15.778,0.155,Chisinau,Moldova,47.42N,29.61E
1928-10-01,8.478,0.295,Chisinau,Moldova,47.42N,29.61E
1928-11-01,6.08,0.253,Chisinau,Moldova,47.42N,29.61E
1928-12-01,-1.6669999999999998,0.563,Chisinau,Moldova,47.42N,29.61E
1929-01-01,-6.506,0.598,Chisinau,Moldova,47.42N,29.61E
1929-02-01,-13.625,0.653,Chisinau,Moldova,47.42N,29.61E
1929-03-01,-3.411,0.21,Chisinau,Moldova,47.42N,29.61E
1929-04-01,4.323,0.249,Chisinau,Moldova,47.42N,29.61E
1929-05-01,17.118,0.31,Chisinau,Moldova,47.42N,29.61E
1929-06-01,18.329,0.402,Chisinau,Moldova,47.42N,29.61E
1929-07-01,20.43,0.304,Chisinau,Moldova,47.42N,29.61E
1929-08-01,23.97,0.391,Chisinau,Moldova,47.42N,29.61E
1929-09-01,14.046,0.313,Chisinau,Moldova,47.42N,29.61E
1929-10-01,12.073,0.212,Chisinau,Moldova,47.42N,29.61E
1929-11-01,5.466,0.341,Chisinau,Moldova,47.42N,29.61E
1929-12-01,-0.6280000000000001,0.22699999999999998,Chisinau,Moldova,47.42N,29.61E
1930-01-01,-1.4549999999999996,0.5760000000000001,Chisinau,Moldova,47.42N,29.61E
1930-02-01,-1.773,0.735,Chisinau,Moldova,47.42N,29.61E
1930-03-01,4.498,0.579,Chisinau,Moldova,47.42N,29.61E
1930-04-01,9.612,0.22899999999999998,Chisinau,Moldova,47.42N,29.61E
1930-05-01,15.045,0.209,Chisinau,Moldova,47.42N,29.61E
1930-06-01,18.065,0.523,Chisinau,Moldova,47.42N,29.61E
1930-07-01,20.86,0.591,Chisinau,Moldova,47.42N,29.61E
1930-08-01,20.715999999999998,0.213,Chisinau,Moldova,47.42N,29.61E
1930-09-01,16.18,0.715,Chisinau,Moldova,47.42N,29.61E
1930-10-01,10.526,0.44299999999999995,Chisinau,Moldova,47.42N,29.61E
1930-11-01,5.987,0.34,Chisinau,Moldova,47.42N,29.61E
1930-12-01,-2.63,0.469,Chisinau,Moldova,47.42N,29.61E
1931-01-01,-4.276999999999999,0.642,Chisinau,Moldova,47.42N,29.61E
1931-02-01,-5.682,1.001,Chisinau,Moldova,47.42N,29.61E
1931-03-01,-0.03600000000000003,0.45899999999999996,Chisinau,Moldova,47.42N,29.61E
