09,1.964,Lleida,Spain,40.99N,0.00W
1756-02-01,9.749,3.6310000000000002,Lleida,Spain,40.99N,0.00W
1756-03-01,10.428999999999998,6.058,Lleida,Spain,40.99N,0.00W
1756-04-01,13.244000000000002,2.392,Lleida,Spain,40.99N,0.00W
1756-05-01,17.73,4.79,Lleida,Spain,40.99N,0.00W
1756-06-01,22.405,3.03,Lleida,Spain,40.99N,0.00W
1756-07-01,23.589,2.184,Lleida,Spain,40.99N,0.00W
1756-08-01,23.066,7.281000000000001,Lleida,Spain,40.99N,0.00W
1756-09-01,20.973000000000003,2.627,Lleida,Spain,40.99N,0.00W
1756-10-01,13.43,2.504,Lleida,Spain,40.99N,0.00W
1756-11-01,7.709999999999999,3.472,Lleida,Spain,40.99N,0.00W
1756-12-01,4.33,2.552,Lleida,Spain,40.99N,0.00W
1757-01-01,2.8510000000000004,2.46,Lleida,Spain,40.99N,0.00W
1757-02-01,7.507000000000001,3.765,Lleida,Spain,40.99N,0.00W
1757-03-01,9.883,3.389,Lleida,Spain,40.99N,0.00W
1757-04-01,12.696000000000002,4.94,Lleida,Spain,40.99N,0.00W
1757-05-01,18.329,3.687,Lleida,Spain,40.99N,0.00W
1757-06-01,23.59,3.908,Lleida,Spain,40.99N,0.00W
1757-07-01,26.763,5.622000000000001,Lleida,Spain,40.99N,0.00W
1757-08-01,24.215,3.694,Lleida,Spain,40.99N,0.00W
1757-09-01,20.333,6.242999999999999,Lleida,Spain,40.99N,0.00W
1757-10-01,12.23,8.386000000000001,Lleida,Spain,40.99N,0.00W
1757-11-01,8.45,3.39,Lleida,Spain,40.99N,0.00W
1757-12-01,4.4220000000000015,8.906,Lleida,Spain,40.99N,0.00W
1758-01-01,2.3120000000000003,2.177,Lleida,Spain,40.99N,0.00W
1758-02-01,6.943,2.878,Lleida,Spain,40.99N,0.00W
1758-03-01,10.546,4.045,Lleida,Spain,40.99N,0.00W
1758-04-01,12.019,7.329,Lleida,Spain,40.99N,0.00W
1758-05-01,16.362000000000002,4.993,Lleida,Spain,40.99N,0.00W
1758-06-01,21.545,4.376,Lleida,Spain,40.99N,0.00W
1758-07-01,22.095,6.361000000000001,Lleida,Spain,40.99N,0.00W
1758-08-01,22.143,5.651,Lleida,Spain,40.99N,0.00W
1758-09-01,18.067,2.998,Lleida,Spain,40.99N,0.00W
1758-10-01,11.868,9.637,Lleida,Spain,40.99N,0.00W
1758-11-01,9.792,6.402,Lleida,Spain,40.99N,0.00W
1758-12-01,6.551,4.958,Lleida,Spain,40.99N,0.00W
1759-01-01,7.355,5.061,Lleida,Spain,40.99N,0.00W
1759-02-01,8.774,6.841,Lleida,Spain,40.99N,0.00W
1759-03-01,10.249,2.9930000000000003,Lleida,Spain,40.99N,0.00W
1759-04-01,12.311,5.428999999999999,Lleida,Spain,40.99N,0.00W
1759-05-01,16.915,3.108,Lleida,Spain,40.99N,0.00W
1759-06-01,20.884,4.832,Lleida,Spain,40.99N,0.00W
1759-07-01,24.433000000000003,3.9589999999999996,Lleida,Spain,40.99N,0.00W
1759-08-01,23.892,5.819,Lleida,Spain,40.99N,0.00W
1759-09-01,21.340999999999998,5.142,Lleida,Spain,40.99N,0.00W
1759-10-01,15.827,4.065,Lleida,Spain,40.99N,0.00W
1759-11-01,7.337999999999999,5.268,Lleida,Spain,40.99N,0.00W
1759-12-01,4.559,6.047000000000001,Lleida,Spain,40.99N,0.00W
1760-01-01,4.79,4.22,Lleida,Spain,40.99N,0.00W
1760-02-01,6.925,2.525,Lleida,Spain,40.99N,0.00W
1760-03-01,8.504,7.601,Lleida,Spain,40.99N,0.00W
1760-04-01,14.72,5.686,Lleida,Spain,40.99N,0.00W
1760-05-01,16.427,3.835,Lleida,Spain,40.99N,0.00W
1760-06-01,20.29,2.633,Lleida,Spain,40.99N,0.00W
1760-07-01,23.619,3.398,Lleida,Spain,40.99N,0.00W
1760-08-01,23.476,6.053,Lleida,Spain,40.99N,0.00W
1760-09-01,20.465999999999998,4.382,Lleida,Spain,40.99N,0.00W
1760-10-01,14.512,4.171,Lleida,Spain,40.99N,0.00W
1760-11-01,9.317,2.602,Lleida,Spain,40.99N,0.00W
1760-12-01,6.944,3.054,Lleida,Spain,40.99N,0.00W
1761-01-01,3.753,5.474,Lleida,Spain,40.99N,0.00W
1761-02-01,8.943999999999997,3.3710000000000004,Lleida,Spain,40.99N,0.00W
1761-03-01,11.809000000000001,1.7690000000000001,Lleida,Spain,40.99N,0.00W
1761-04-01,11.777,4.082,Lleida,Spain,40.99N,0.00W
1761-05-01,18.272000000000002,4.683,Lleida,Spain,40.99N,0.00W
1761-06-01,22.356,2.397,Lleida,Spain,40.99N,0.00W
1761-07-01,26.892,5.33,Lleida,Spain,40.99N,0.00W
1761-08-01,24.308000000000003,2.449,Lleida,Spain,40.99N,0.00W
1761-09-01,20.661,3.2769999999999997,Lleida,Spain,40.99N,0.00W
1761-10-01,14.315,4.0169999999999995,Lleida,Spain,40.99N,0.00W
1761-11-01,8.398,2.246,Lleida,Spain,40.99N,0.00W
1761-12-01,3.52,2.37,Lleida,Spain,40.99N,0.00W
1762-01-01,8.312000000000001,2.024,Lleida,Spain,40.99N,0.00W
1762-02-01,8.197000000000001,7.577000000000001,Lleida,Spain,40.99N,0.00W
1762-03-01,8.302,4.524,Lleida,Spain,40.99N,0.00W
1762-04-01,14.747,3.449,Lleida,Spain,40.99N,0.00W
1762-05-01,17.563,5.752999999999999,Lleida,Spain,40.99N,0.00W
1762-06-01,21.456,5.54,Lleida,Spain,40.99N,0.00W
1762-07-01,25.859,2.6519999999999997,Lleida,Spain,40.99N,0.00W
1762-08-01,23.324,2.7560000000000002,Lleida,Spain,40.99N,0.00W
1762-09-01,19.733,7.065,Lleida,Spain,40.99N,0.00W
1762-10-01,13.376,3.571,Lleida,Spain,40.99N,0.00W
1762-11-01,9.198,2.298,Lleida,Spain,40.99N,0.00W
1762-12-01,3.6260000000000003,5.946000000000001,Lleida,Spain,40.99N,0.00W
1763-01-01,3.7889999999999997,5.771,Lleida,Spain,40.99N,0.00W
1763-02-01,9.141,4.257,Lleida,Spain,40.99N,0.00W
1763-03-01,8.818999999999997,6.236000000000001,Lleida,Spain,40.99N,0.00W
1763-04-01,12.913,1.8719999999999999,Lleida,Spain,40.99N,0.00W
1763-05-01,15.297,2.807,Lleida,Spain,40.99N,0.00W
1763-06-01,20.452,5.107,Lleida,Spain,40.99N,0.00W
1763-07-01,24.496,2.255,Lleida,Spain,40.99N,0.00W
1763-08-01,24.464000000000002,2.8480000000000003,Lleida,Spain,40.99N,0.00W
1763-09-01,19.35,2.313,Lleida,Spain,40.99N,0.00W
1763-10-01,12.512999999999998,5.53,Lleida,Spain,40.99N,0.00W
1763-11-01,8.831,3.21,Lleida,Spain,40.99N,0.00W
1763-12-01,7.334,2.1630000000000003,Lleida,Spain,40.99N,0.00W
1764-01-01,7.039,4.625,Lleida,Spain,40.99N,0.00W
1764-02-01,9.953,2.865,Lleida,Spain,40.99N,0.00W
1764-03-01,9.428999999999998,3.597,Lleida,Spain,40.99N,0.00W
1764-04-01,11.859000000000002,4.165,Lleida,Spain,40.99N,0.00W
1764-05-01,17.596,6.667999999999999,Lleida,Spain,40.99N,0.00W
1764-06-01,21.51,2.963,Lleida,Spain,40.99N,0.00W
1764-07-01,22.592,4.751,Lleida,Spain,40.99N,0.00W
1764-08-01,22.259,1.796,Lleida,Spain,40.99N,0.00W
1764-09-01,19.441,4.53,Lleida,Spain,40.99N,0.00W
1764-10-01,14.151,2.926,Lleida,Spain,40.99N,0.00W
1764-11-01,9.946,2.949,Lleida,Spain,40.99N,0.00W
1764-12-01,8.633,3.612,Lleida,Spain,40.99N,0.00W
1765-01-01,8.863999999999999,9.104,Lleida,Spain,40.99N,0.00W
1765-02-01,7.395,3.772,Lleida,Spain,40.99N,0.00W
1765-03-01,11.507,2.5660000000000003,Lleida,Spain,40.99N,0.00W
1765-04-01,13.149,1.857,Lleida,Spain,40.99N,0.00W
1765-05-01,16.976,2.472,Lleida,Spain,40.99N,0.00W
1765-06-01,20.831,2.733,Lleida,Spain,40.99N,0.00W
1765-07-01,22.565,3.988,Lleida,Spain,40.99N,0.00W
1765-08-01,23.066,2.112,Lleida,Spain,40.99N,0.00W
1765-09-01,20.263,1.639,Lleida,Spain,40.99N,0.00W
1765-10-01,14.751,1.435,Lleida,Spain,40.99N,0.00W
1765-11-01,9.784,3.032,Lleida,Spain,40.99N,0.00W
1765-12-01,5.221,2.151,Lleida,Spain,40.99N,0.00W
1766-01-01,1.6840000000000002,6.279,Lleida,Spain,40.99N,0.00W
1766-02-01,7.186,3.537,Lleida,Spain,40.99N,0.00W
1766-03-01,10.282,2.419,Lleida,Spain,40.99N,0.00W
1766-04-01,13.284,3.2310000000000003,Lleida,Spain,40.99N,0.00W
1766-05-01,16.846999999999998,1.8969999999999998,Lleida,Spain,40.99N,0.00W
1766-06-01,21.873,6.257999999999999,Lleida,Spain,40.99N,0.00W
1766-07-01,22.7,3.7230000000000003,Lleida,Spain,40.99N,0.00W
1766-08-01,24.698,2.826,Lleida,Spain,40.99N,0.00W
1766-09-01,21.316999999999997,3.016,Lleida,Spain,40.99N,0.00W
1766-10-01,15.093,2.363,Lleida,Spain,40.99N,0.00W
1766-11-01,11.896,4.353,Lleida,Spain,40.99N,0.00W
1766-12-01,5.886,3.43,Lleida,Spain,40.99N,0.00W
1767-01-01,2.6180000000000003,6.468,Lleida,Spain,40.99N,0.00W
1767-02-01,9.684,7.187,Lleida,Spain,40.99N,0.00W
1767-03-01,11.547,7.066,Lleida,Spain,40.99N,0.00W
1767-04-01,11.777,5.412999999999999,Lleida,Spain,40.99N,0.00W
1767-05-01,16.198,2.316,Lleida,Spain,40.99N,0.00W
1767-06-01,21.103,3.036,Lleida,Spain,40.99N,0.00W
1767-07-01,23.831,3.6830000000000003,Lleida,Spain,40.99N,0.00W
1767-08-01,23.988000000000003,1.939,Lleida,Spain,40.99N,0.00W
1767-09-01,20.113,3.3710000000000004,Lleida,Spain,40.99N,0.00W
1767-10-01,15.203,2.611,Lleida,Spain,40.99N,0.00W
1767-11-01,11.575999999999999,7.607,Lleida,Spain,40.99N,0.00W
1767-12-01,5.001,4.968999999999999,Lleida,Spain,40.99N,0.00W
1768-01-01,3.5700000000000003,10.597999999999999,Lleida,Spain,40.99N,0.00W
1768-02-01,7.23,8.038,Lleida,Spain,40.99N,0.00W
1768-03-01,8.372,5.535,Lleida,Spain,40.99N,0.00W
1768-04-01,13.399,3.517,Lleida,Spain,40.99N,0.00W
1768-05-01,16.305,2.585,Lleida,Spain,40.99N,0.00W
1768-06-01,19.935,4.106,Lleida,Spain,40.99N,0.00W
1768-07-01,23.496,4.332,Lleida,Spain,40.99N,0.00W
1768-08-01,23.328000000000003,1.645,Lleida,Spain,40.99N,0.00W
1768-09-01,19.565,4.301,Lleida,Spain,40.99N,0.00W
1768-10-01,14.658,3.8280000000000003,Lleida,Spain,40.99N,0.00W
1768-11-01,10.322000000000001,5.13,Lleida,Spain,40.99N,0.00W
1768-12-01,6.004,6.977,Lleida,Spain,40.99N,0.00W
1769-01-01,6.431,5.647,Lleida,Spain,40.99N,0.00W
1769-02-01,7.36,3.721,Lleida,Spain,40.99N,0.00W
1769-03-01,9.413,4.459,Lleida,Spain,40.99N,0.00W
1769-04-01,13.408,5.51,Lleida,Spain,40.99N,0.00W
1769-05-01,17.759999999999994,7.912000000000001,Lleida,Spain,40.99N,0.00W
1769-06-01,21.889,4.56,Lleida,Spain,40.99N,0.00W
1769-07-01,23.625,4.757,Lleida,Spain,40.99N,0.00W
1769-08-01,23.818,4.935,Lleida,Spain,40.99N,0.00W
1769-09-01,20.026,1.7469999999999999,Lleida,Spain,40.99N,0.00W
1769-10-01,11.646999999999998,2.628,Lleida,Spain,40.99N,0.00W
1769-11-01,10.251,1.919,Lleida,Spain,40.99N,0.00W
1769-12-01,5.77,3.988,Lleida,Spain,40.99N,0.00W
1770-01-01,5.15,6.5760000000000005,Lleida,Spain,40.99N,0.00W
1770-02-01,8.648,3.347,Lleida,Spain,40.99N,0.00W
1770-03-01,9.043,3.992,Lleida,Spain,40.99N,0.00W
1770-04-01,12.884,10.642000000000001,Lleida,Spain,40.99N,0.00W
1770-05-01,16.026,1.964,Lleida,Spain,40.99N,0.00W
1770-06-01,20.596,4.0569999999999995,Lleida,Spain,40.99N,0.00W
1770-07-01,21.418000000000003,7.414,Lleida,Spain,40.99N,0.00W
1770-08-01,23.081999999999997,4.22,Lleida,Spain,40.99N,0.00W
1770-09-01,20.673000000000002,3.162,Lleida,Spain,40.99N,0.00W
1770-10-01,14.102,4.613,Lleida,Spain,40.99N,0.00W
1770-11-01,10.849,6.273,Lleida,Spain,40.99N,0.00W
1770-12-01,7.11,8.867,Lleida,Spain,40.99N,0.00W
1771-01-01,8.193999999999999,6.847,Lleida,Spain,40.99N,0.00W
1771-02-01,6.906000000000001,4.187,Lleida,Spain,40.99N,0.00W
1771-03-01,10.118,7.1129999999999995,Lleida,Spain,40.99N,0.00W
1771-04-01,10.527999999999999,6.392,Lleida,Spain,40.99N,0.00W
1771-05-01,16.941,10.198,Lleida,Spain,40.99N,0.00W
1771-06-01,20.608,2.9330000000000003,Lleida,Spain,40.99N,0.00W
1771-07-01,24.408,1.944,Lleida,Spain,40.99N,0.00W
1771-08-01,24.64,2.6010000000000004,Lleida,Spain,40.99N,0.00W
1771-09-01,20.248,2.075,Lleida,Spain,40.99N,0.00W
1771-10-01,15.896,1.771,Lleida,Spain,40.99N,0.00W
1771-11-01,9.121,4.25,Lleida,Spain,40.99N,0.00W
1771-12-01,8.054,4.124,Lleida,Spain,40.99N,0.00W
1772-01-01,6.023,7.739,Lleida,Spain,40.99N,0.00W
1772-02-01,9.209,9.205,Lleida,Spain,40.99N,0.00W
1772-03-01,11.487,3.432,Lleida,Spain,40.99N,0.00W
1772-04-01,13.873,3.6630000000000003,Lleida,Spain,40.99N,0.00W
1772-05-01,15.914000000000001,1.913,Lleida,Spain,40.99N,0.00W
1772-06-01,22.273000000000003,4.419,Lleida,Spain,40.99N,0.00W
1772-07-01,24.401999999999997,2.915,Lleida,Spain,40.99N,0.00W
1772-08-01,24.7,4.096,Lleida,Spain,40.99N,0.00W
1772-09-01,20.433,3.3689999999999998,Lleida,Spain,40.99N,0.00W
1772-10-01,16.265,2.411,Lleida,Spain,40.99N,0.00W
1772-11-01,11.909,5.166,Lleida,Spain,40.99N,0.00W
1772-12-01,8.925,3.593,Lleida,Spain,40.99N,0.00W
1773-01-01,5.678,2.401,Lleida,Spain,40.99N,0.00W
1773-02-01,6.0760000000000005,3.263,Lleida,Spain,40.99N,0.00W
1773-03-01,9.561,2.052,Lleida,Spain,40.99N,0.00W
1773-04-01,13.034,3.338,Lleida,Spain,40.99N,0.00W
1773-05-01,16.570999999999998,3.429,Lleida,Spain,40.99N,0.00W
1773-06-01,20.22,2.0140000000000002,Lleida,Spain,40.99N,0.00W
1773-07-01,22.9,2.055,Lleida,Spain,40.99N,0.00W
1773-08-01,23.173000000000002,2.16,Lleida,Spain,40.99N,0.00W
1773-09-01,20.99,1.949,Lleida,Spain,40.99N,0.00W
1773-10-01,15.183,1.6880000000000002,Lleida,Spain,40.99N,0.00W
1773-11-01,9.024,6.1370000000000005,Lleida,Spain,40.99N,0.00W
1773-12-01,7.859,4.795,Lleida,Spain,40.99N,0.00W
1774-01-01,5.74,7.309,Lleida,Spain,40.99N,0.00W
1774-02-01,8.914,6.6610000000000005,Lleida,Spain,40.99N,0.00W
1774-03-01,11.771,2.394,Lleida,Spain,40.99N,0.00W
1774-04-01,14.235,4.897,Lleida,Spain,40.99N,0.00W
1774-05-01,18.488,2.699,Lleida,Spain,40.99N,0.00W
1774-06-01,21.948,6.979,Lleida,Spain,40.99N,0.00W
1774-07-01,24.7,6.667000000000001,Lleida,Spain,40.99N,0.00W
1774-08-01,25.359,2.864,Lleida,Spain,40.99N,0.00W
1774-09-01,19.840999999999998,3.042,Lleida,Spain,40.99N,0.00W
1774-10-01,13.662999999999998,4.124,Lleida,Spain,40.99N,0.00W
1774-11-01,8.222999999999999,7.29,Lleida,Spain,40.99N,0.00W
1774-12-01,3.925,5.233,Lleida,Spain,40.99N,0.00W
1775-01-01,7.492000000000001,4.678,Lleida,Spain,40.99N,0.00W
1775-02-01,10.747,3.951,Lleida,Spain,40.99N,0.00W
1775-03-01,12.126,1.7209999999999999,Lleida,Spain,40.99N,0.00W
1775-04-01,13.197,1.4680000000000002,Lleida,Spain,40.99N,0.00W
1775-05-01,16.628999999999998,3.4389999999999996,Lleida,Spain,40.99N,0.00W
1775-06-01,20.632,4.772,Lleida,Spain,40.99N,0.00W
1775-07-01,24.118,1.8230000000000002,Lleida,Spain,40.99N,0.00W
1775-08-01,23.53,2.015,Lleida,Spain,40.99N,0.00W
1775-09-01,19.52,2.555,Lleida,Spain,40.99N,0.00W
1775-10-01,15.007,3.173,Lleida,Spain,40.99N,0.00W
1775-11-01,10.976,6.195,Lleida,Spain,40.99N,0.00W
1775-12-01,5.053999999999999,1.8419999999999999,Lleida,Spain,40.99N,0.00W
1776-01-01,4.516,5.742999999999999,Lleida,Spain,40.99N,0.00W
1776-02-01,8.892999999999999,4.225,Lleida,Spain,40.99N,0.00W
1776-03-01,11.493,3.5389999999999997,Lleida,Spain,40.99N,0.00W
1776-04-01,13.214,1.508,Lleida,Spain,40.99N,0.00W
1776-05-01,15.634,3.8739999999999997,Lleida,Spain,40.99N,0.00W
1776-06-01,21.429000000000002,2.7739999999999996,Lleida,Spain,40.99N,0.00W
1776-07-01,23.767,2.366,Lleida,Spain,40.99N,0.00W
1776-08-01,24.526,3.917,Lleida,Spain,40.99N,0.00W
1776-09-01,18.688,2.818,Lleida,Spain,40.99N,0.00W
1776-10-01,14.838,2.8939999999999997,Lleida,Spain,40.99N,0.00W
1776-11-01,9.71,4.982,Lleida,Spain,40.99N,0.00W
1776-12-01,6.898,2.931,Lleida,Spain,40.99N,0.00W
1777-01-01,6.357,3.8360000000000003,Lleida,Spain,40.99N,0.00W
1777-02-01,7.898,4.783,Lleida,Spain,40.99N,0.00W
1777-03-01,12.289000000000001,2.1590000000000003,Lleida,Spain,40.99N,0.00W
1777-04-01,11.929,1.963,Lleida,Spain,40.99N,0.00W
1777-05-01,15.782,3.298,Lleida,Spain,40.99N,0.00W
1777-06-01,19.825,2.4130000000000003,Lleida,Spain,40.99N,0.00W
1777-07-01,22.374,1.906,Lleida,Spain,40.99N,0.00W
1777-08-01,23.889,1.943,Lleida,Spain,40.99N,0.00W
1777-09-01,20.517,3.778,Lleida,Spain,40.99N,0.00W
1777-10-01,14.784,4.558,Lleida,Spain,40.99N,0.00W
1777-11-01,10.48,2.844,Lleida,Spain,40.99N,0.00W
1777-12-01,4.946000000000001,2.303,Lleida,Spain,40.99N,0.00W
1778-01-01,6.4,3.135,Lleida,Spain,40.99N,0.00W
1778-02-01,8.565,4.144,Lleida,Spain,40.99N,0.00W
1778-03-01,10.001,4.285,Lleida,Spain,40.99N,0.00W
1778-04-01,14.876,1.923,Lleida,Spain,40.99N,0.00W
1778-05-01,17.337,2.83,Lleida,Spain,40.99N,0.00W
1778-06-01,20.054000000000002,5.462999999999999,Lleida,Spain,40.99N,0.00W
1778-07-01,25.134,1.3359999999999999,Lleida,Spain,40.99N,0.00W
1778-08-01,23.83,3.3339999999999996,Lleida,Spain,40.99N,0.00W
1778-09-01,19.853,1.5830000000000002,Lleida,Spain,40.99N,0.00W
1778-10-01,14.311,5.375,Lleida,Spain,40.99N,0.00W
1778-11-01,9.331,4.4319999999999995,Lleida,Spain,40.99N,0.00W
1778-12-01,6.819,2.807,Lleida,Spain,40.99N,0.00W
1779-01-01,3.505,3.533,Lleida,Spain,40.99N,0.00W
1779-02-01,9.013,7.595,Lleida,Spain,40.99N,0.00W
1779-03-01,10.952,3.596,Lleida,Spain,40.99N,0.00W
1779-04-01,14.841,3.491,Lleida,Spain,40.99N,0.00W
1779-05-01,18.768,1.989,Lleida,Spain,40.99N,0.00W
1779-06-01,19.503,3.707,Lleida,Spain,40.99N,0.00W
1779-07-01,23.601999999999997,2.29,Lleida,Spain,40.99N,0.00W
1779-08-01,23.285999999999998,3.364,Lleida,Spain,40.99N,0.00W
1779-09-01,21.281999999999996,2.072,Lleida,Spain,40.99N,0.00W
1779-10-01,15.874,3.508,Lleida,Spain,40.99N,0.00W
1779-11-01,9.855,2.5810000000000004,Lleida,Spain,40.99N,0.00W
1779-12-01,8.074,8.581,Lleida,Spain,40.99N,0.00W
1780-01-01,4.849,4.087,Lleida,Spain,40.99N,0.00W
1780-02-01,7.025,2.892,Lleida,Spain,40.99N,0.00W
1780-03-01,12.456,2.184,Lleida,Spain,40.99N,0.00W
1780-04-01,15.005999999999998,3.7430000000000003,Lleida,Spain,40.99N,0.00W
1780-05-01,20.412,2.237,Lleida,Spain,40.99N,0.00W
1780-06-01,23.017,4.044,Lleida,Spain,40.99N,0.00W
1780-07-01,25.307,1.946,Lleida,Spain,40.99N,0.00W
1780-08-01,23.699,4.955,Lleida,Spain,40.99N,0.00W
1780-09-01,19.414,3.695,Lleida,Spain,40.99N,0.00W
1780-10-01,15.376,2.383,Lleida,Spain,40.99N,0.00W
1780-11-01,9.859,2.213,Lleida,Spain,40.99N,0.00W
1780-12-01,5.697,2.088,Lleida,Spain,40.99N,0.00W
1781-01-01,6.056,7.031000000000001,Lleida,Spain,40.99N,0.00W
1781-02-01,8.331,9.597999999999999,Lleida,Spain,40.99N,0.00W
1781-03-01,11.183,1.6869999999999998,Lleida,Spain,40.99N,0.00W
1781-04-01,13.727,2.668,Lleida,Spain,40.99N,0.00W
1781-05-01,18.141,2.412,Lleida,Spain,40.99N,0.00W
1781-06-01,20.555,1.9980000000000002,Lleida,Spain,40.99N,0.00W
1781-07-01,24.816999999999997,2.097,Lleida,Spain,40.99N,0.00W
1781-08-01,23.881999999999998,1.4569999999999999,Lleida,Spain,40.99N,0.00W
1781-09-01,19.313,5.468999999999999,Lleida,Spain,40.99N,0.00W
1781-10-01,14.238,1.463,Lleida,Spain,40.99N,0.00W
1781-11-01,10.952,2.045,Lleida,Spain,40.99N,0.00W
1781-12-01,8.513,5.9910000000000005,Lleida,Spain,40.99N,0.00W
1782-01-01,5.9190000000000005,4.211,Lleida,Spain,40.99N,0.00W
1782-02-01,4.379,7.449,Lleida,Spain,40.99N,0.00W
1782-03-01,9.04,2.259,Lleida,Spain,40.99N,0.00W
1782-04-01,12.197,3.891,Lleida,Spain,40.99N,0.00W
1782-05-01,15.655,3.458,Lleida,Spain,40.99N,0.00W
1782-06-01,22.911,2.6060000000000003,Lleida,Spain,40.99N,0.00W
1782-07-01,25.098000000000003,3.9560000000000004,Lleida,Spain,40.99N,0.00W
1782-08-01,24.737,3.313,Lleida,Spain,40.99N,0.00W
1782-09-01,20.026,3.2539999999999996,Lleida,Spain,40.99N,0.00W
1782-10-01,14.124,3.4560000000000004,Lleida,Spain,40.99N,0.00W
1782-11-01,7.82,7.407,Lleida,Spain,40.99N,0.00W
1782-12-01,4.800000000000002,5.607,Lleida,Spain,40.99N,0.00W
1783-01-01,5.43,7.321000000000001,Lleida,Spain,40.99N,0.00W
1783-02-01,9.85,4.11,Lleida,Spain,40.99N,0.00W
1783-03-01,10.393,2.207,Lleida,Spain,40.99N,0.00W
1783-04-01,13.648,2.211,Lleida,Spain,40.99N,0.00W
1783-05-01,17.099999999999998,4.792,Lleida,Spain,40.99N,0.00W
1783-06-01,20.96,2.084,Lleida,Spain,40.99N,0.00W
1783-07-01,24.416,2.1519999999999997,Lleida,Spain,40.99N,0.00W
1783-08-01,23.555,2.208,Lleida,Spain,40.99N,0.00W
1783-09-01,19.409000000000002,3.9730000000000003,Lleida,Spain,40.99N,0.00W
1783-10-01,14.635,3.5410000000000004,Lleida,Spain,40.99N,0.00W
1783-11-01,8.831999999999997,2.847,Lleida,Spain,40.99N,0.00W
1783-12-01,6.579,2.7119999999999997,Lleida,Spain,40.99N,0.00W
1784-01-01,6.117999999999999,8.918,Lleida,Spain,40.99N,0.00W
1784-02-01,5.497999999999998,7.195,Lleida,Spain,40.99N,0.00W
1784-03-01,10.338,3.755,Lleida,Spain,40.99N,0.00W
1784-04-01,11.585999999999999,7.24,Lleida,Spain,40.99N,0.00W
1784-05-01,18.627,2.267,Lleida,Spain,40.99N,0.00W
1784-06-01,21.93,2.391,Lleida,Spain,40.99N,0.00W
1784-07-01,25.186999999999998,4.465,Lleida,Spain,40.99N,0.00W
