5.79,0.29,Chungho,Taiwan,24.92N,120.59E
1927-01-01,13.898,0.344,Chungho,Taiwan,24.92N,120.59E
1927-02-01,13.338,0.266,Chungho,Taiwan,24.92N,120.59E
1927-03-01,14.646,0.34700000000000003,Chungho,Taiwan,24.92N,120.59E
1927-04-01,18.115,0.301,Chungho,Taiwan,24.92N,120.59E
1927-05-01,22.256,0.445,Chungho,Taiwan,24.92N,120.59E
1927-06-01,25.494,0.313,Chungho,Taiwan,24.92N,120.59E
1927-07-01,27.139,0.441,Chungho,Taiwan,24.92N,120.59E
1927-08-01,27.753,0.26899999999999996,Chungho,Taiwan,24.92N,120.59E
1927-09-01,25.06,0.332,Chungho,Taiwan,24.92N,120.59E
1927-10-01,22.570999999999998,0.192,Chungho,Taiwan,24.92N,120.59E
1927-11-01,19.947,0.44299999999999995,Chungho,Taiwan,24.92N,120.59E
1927-12-01,17.003,0.457,Chungho,Taiwan,24.92N,120.59E
1928-01-01,15.261,0.242,Chungho,Taiwan,24.92N,120.59E
1928-02-01,13.77,0.424,Chungho,Taiwan,24.92N,120.59E
1928-03-01,16.235999999999994,0.289,Chungho,Taiwan,24.92N,120.59E
1928-04-01,19.31,0.27399999999999997,Chungho,Taiwan,24.92N,120.59E
1928-05-01,23.241999999999997,0.366,Chungho,Taiwan,24.92N,120.59E
1928-06-01,24.894000000000002,0.307,Chungho,Taiwan,24.92N,120.59E
1928-07-01,28.339000000000002,0.278,Chungho,Taiwan,24.92N,120.59E
1928-08-01,26.805999999999997,0.332,Chungho,Taiwan,24.92N,120.59E
1928-09-01,25.895000000000003,0.23600000000000002,Chungho,Taiwan,24.92N,120.59E
1928-10-01,21.997,0.327,Chungho,Taiwan,24.92N,120.59E
1928-11-01,19.966,0.196,Chungho,Taiwan,24.92N,120.59E
1928-12-01,17.139999999999993,0.41600000000000004,Chungho,Taiwan,24.92N,120.59E
1929-01-01,14.921,0.226,Chungho,Taiwan,24.92N,120.59E
1929-02-01,13.788,0.376,Chungho,Taiwan,24.92N,120.59E
1929-03-01,15.872999999999998,0.449,Chungho,Taiwan,24.92N,120.59E
1929-04-01,19.129,0.391,Chungho,Taiwan,24.92N,120.59E
1929-05-01,23.403,0.478,Chungho,Taiwan,24.92N,120.59E
1929-06-01,26.546,0.345,Chungho,Taiwan,24.92N,120.59E
1929-07-01,27.083000000000002,0.18100000000000002,Chungho,Taiwan,24.92N,120.59E
1929-08-01,26.963,0.254,Chungho,Taiwan,24.92N,120.59E
1929-09-01,25.866999999999997,0.39799999999999996,Chungho,Taiwan,24.92N,120.59E
1929-10-01,22.691,0.34700000000000003,Chungho,Taiwan,24.92N,120.59E
1929-11-01,18.666,0.25,Chungho,Taiwan,24.92N,120.59E
1929-12-01,17.511,0.298,Chungho,Taiwan,24.92N,120.59E
1930-01-01,12.963,0.494,Chungho,Taiwan,24.92N,120.59E
1930-02-01,14.595,0.5529999999999999,Chungho,Taiwan,24.92N,120.59E
1930-03-01,16.156,0.46299999999999997,Chungho,Taiwan,24.92N,120.59E
1930-04-01,21.237,0.264,Chungho,Taiwan,24.92N,120.59E
1930-05-01,24.299000000000003,0.265,Chungho,Taiwan,24.92N,120.59E
1930-06-01,26.084,0.405,Chungho,Taiwan,24.92N,120.59E
1930-07-01,27.174,0.20600000000000002,Chungho,Taiwan,24.92N,120.59E
1930-08-01,27.416999999999998,0.287,Chungho,Taiwan,24.92N,120.59E
1930-09-01,26.14,0.21100000000000002,Chungho,Taiwan,24.92N,120.59E
1930-10-01,22.904,0.327,Chungho,Taiwan,24.92N,120.59E
1930-11-01,19.391,0.29,Chungho,Taiwan,24.92N,120.59E
1930-12-01,16.756,0.265,Chungho,Taiwan,24.92N,120.59E
1931-01-01,14.865,0.397,Chungho,Taiwan,24.92N,120.59E
1931-02-01,14.562999999999999,0.315,Chungho,Taiwan,24.92N,120.59E
1931-03-01,16.211,0.298,Chungho,Taiwan,24.92N,120.59E
1931-04-01,19.572,0.324,Chungho,Taiwan,24.92N,120.59E
1931-05-01,23.249,0.193,Chungho,Taiwan,24.92N,120.59E
1931-06-01,25.763,0.171,Chungho,Taiwan,24.92N,120.59E
1931-07-01,27.788,0.396,Chungho,Taiwan,24.92N,120.59E
1931-08-01,27.615,0.33399999999999996,Chungho,Taiwan,24.92N,120.59E
1931-09-01,26.494000000000003,0.2,Chungho,Taiwan,24.92N,120.59E
1931-10-01,21.996,0.201,Chungho,Taiwan,24.92N,120.59E
1931-11-01,20.545,0.213,Chungho,Taiwan,24.92N,120.59E
1931-12-01,16.418999999999997,0.257,Chungho,Taiwan,24.92N,120.59E
1932-01-01,14.325999999999999,0.5479999999999999,Chungho,Taiwan,24.92N,120.59E
1932-02-01,12.318,0.33299999999999996,Chungho,Taiwan,24.92N,120.59E
1932-03-01,15.121,0.287,Chungho,Taiwan,24.92N,120.59E
1932-04-01,19.616,0.19699999999999998,Chungho,Taiwan,24.92N,120.59E
1932-05-01,24.825000000000006,0.467,Chungho,Taiwan,24.92N,120.59E
1932-06-01,25.808000000000003,0.168,Chungho,Taiwan,24.92N,120.59E
1932-07-01,27.791999999999998,0.179,Chungho,Taiwan,24.92N,120.59E
1932-08-01,27.394,0.149,Chungho,Taiwan,24.92N,120.59E
1932-09-01,25.307,0.35,Chungho,Taiwan,24.92N,120.59E
1932-10-01,22.31,0.24,Chungho,Taiwan,24.92N,120.59E
1932-11-01,19.693,0.17600000000000002,Chungho,Taiwan,24.92N,120.59E
1932-12-01,15.922999999999998,0.331,Chungho,Taiwan,24.92N,120.59E
1933-01-01,13.07,0.424,Chungho,Taiwan,24.92N,120.59E
1933-02-01,14.204,0.455,Chungho,Taiwan,24.92N,120.59E
1933-03-01,15.124999999999998,0.369,Chungho,Taiwan,24.92N,120.59E
1933-04-01,20.257,0.27,Chungho,Taiwan,24.92N,120.59E
1933-05-01,23.741000000000003,0.331,Chungho,Taiwan,24.92N,120.59E
1933-06-01,26.064,0.142,Chungho,Taiwan,24.92N,120.59E
1933-07-01,27.513,0.17,Chungho,Taiwan,24.92N,120.59E
1933-08-01,28.146,0.218,Chungho,Taiwan,24.92N,120.59E
1933-09-01,26.747000000000003,0.145,Chungho,Taiwan,24.92N,120.59E
1933-10-01,22.889,0.33399999999999996,Chungho,Taiwan,24.92N,120.59E
1933-11-01,19.28,0.31,Chungho,Taiwan,24.92N,120.59E
1933-12-01,16.218,0.618,Chungho,Taiwan,24.92N,120.59E
1934-01-01,12.079,0.47,Chungho,Taiwan,24.92N,120.59E
1934-02-01,13.637,0.51,Chungho,Taiwan,24.92N,120.59E
1934-03-01,15.307,0.359,Chungho,Taiwan,24.92N,120.59E
1934-04-01,18.472,0.29,Chungho,Taiwan,24.92N,120.59E
1934-05-01,23.171999999999997,0.226,Chungho,Taiwan,24.92N,120.59E
1934-06-01,25.853,0.182,Chungho,Taiwan,24.92N,120.59E
1934-07-01,27.429000000000002,0.129,Chungho,Taiwan,24.92N,120.59E
1934-08-01,28.0,0.132,Chungho,Taiwan,24.92N,120.59E
1934-09-01,26.815,0.159,Chungho,Taiwan,24.92N,120.59E
1934-10-01,22.375999999999998,0.268,Chungho,Taiwan,24.92N,120.59E
1934-11-01,19.518,0.193,Chungho,Taiwan,24.92N,120.59E
1934-12-01,17.299,0.256,Chungho,Taiwan,24.92N,120.59E
1935-01-01,14.155999999999999,0.401,Chungho,Taiwan,24.92N,120.59E
1935-02-01,14.685,0.319,Chungho,Taiwan,24.92N,120.59E
1935-03-01,17.366,0.35600000000000004,Chungho,Taiwan,24.92N,120.59E
1935-04-01,19.388,0.273,Chungho,Taiwan,24.92N,120.59E
1935-05-01,23.461,0.31,Chungho,Taiwan,24.92N,120.59E
1935-06-01,25.6,0.192,Chungho,Taiwan,24.92N,120.59E
1935-07-01,27.461,0.145,Chungho,Taiwan,24.92N,120.59E
1935-08-01,26.885,0.29600000000000004,Chungho,Taiwan,24.92N,120.59E
1935-09-01,24.971999999999998,0.297,Chungho,Taiwan,24.92N,120.59E
1935-10-01,24.177,0.235,Chungho,Taiwan,24.92N,120.59E
1935-11-01,21.069000000000003,0.344,Chungho,Taiwan,24.92N,120.59E
1935-12-01,15.894999999999998,0.21,Chungho,Taiwan,24.92N,120.59E
1936-01-01,13.457,0.257,Chungho,Taiwan,24.92N,120.59E
1936-02-01,13.769,0.325,Chungho,Taiwan,24.92N,120.59E
1936-03-01,13.592999999999998,0.39,Chungho,Taiwan,24.92N,120.59E
1936-04-01,19.585,0.33,Chungho,Taiwan,24.92N,120.59E
1936-05-01,22.9,0.433,Chungho,Taiwan,24.92N,120.59E
1936-06-01,26.403000000000002,0.11800000000000001,Chungho,Taiwan,24.92N,120.59E
1936-07-01,28.108,0.19899999999999998,Chungho,Taiwan,24.92N,120.59E
1936-08-01,27.616999999999997,0.25,Chungho,Taiwan,24.92N,120.59E
1936-09-01,25.779000000000003,0.303,Chungho,Taiwan,24.92N,120.59E
1936-10-01,22.116,0.264,Chungho,Taiwan,24.92N,120.59E
1936-11-01,19.73,0.23,Chungho,Taiwan,24.92N,120.59E
1936-12-01,17.333,0.325,Chungho,Taiwan,24.92N,120.59E
1937-01-01,15.455,0.19699999999999998,Chungho,Taiwan,24.92N,120.59E
1937-02-01,14.293,0.498,Chungho,Taiwan,24.92N,120.59E
1937-03-01,16.381999999999998,0.319,Chungho,Taiwan,24.92N,120.59E
1937-04-01,19.978,0.319,Chungho,Taiwan,24.92N,120.59E
1937-05-01,23.894,0.248,Chungho,Taiwan,24.92N,120.59E
1937-06-01,25.52,0.21100000000000002,Chungho,Taiwan,24.92N,120.59E
1937-07-01,27.993000000000002,0.284,Chungho,Taiwan,24.92N,120.59E
1937-08-01,26.908,0.289,Chungho,Taiwan,24.92N,120.59E
1937-09-01,27.048,0.207,Chungho,Taiwan,24.92N,120.59E
1937-10-01,23.57,0.292,Chungho,Taiwan,24.92N,120.59E
1937-11-01,20.92,0.165,Chungho,Taiwan,24.92N,120.59E
1937-12-01,16.607,0.475,Chungho,Taiwan,24.92N,120.59E
1938-01-01,14.83,0.248,Chungho,Taiwan,24.92N,120.59E
1938-02-01,13.831,0.221,Chungho,Taiwan,24.92N,120.59E
1938-03-01,15.967999999999998,0.2,Chungho,Taiwan,24.92N,120.59E
1938-04-01,20.159000000000002,0.32799999999999996,Chungho,Taiwan,24.92N,120.59E
1938-05-01,24.229000000000006,0.162,Chungho,Taiwan,24.92N,120.59E
1938-06-01,27.881,0.282,Chungho,Taiwan,24.92N,120.59E
1938-07-01,27.557,0.292,Chungho,Taiwan,24.92N,120.59E
1938-08-01,27.022,0.28,Chungho,Taiwan,24.92N,120.59E
1938-09-01,26.311999999999998,0.39299999999999996,Chungho,Taiwan,24.92N,120.59E
1938-10-01,23.989,0.259,Chungho,Taiwan,24.92N,120.59E
1938-11-01,19.275,0.307,Chungho,Taiwan,24.92N,120.59E
1938-12-01,17.253999999999998,0.16899999999999998,Chungho,Taiwan,24.92N,120.59E
1939-01-01,14.696,0.20199999999999999,Chungho,Taiwan,24.92N,120.59E
1939-02-01,14.565999999999999,0.494,Chungho,Taiwan,24.92N,120.59E
1939-03-01,16.389,0.447,Chungho,Taiwan,24.92N,120.59E
1939-04-01,18.506,0.19699999999999998,Chungho,Taiwan,24.92N,120.59E
1939-05-01,22.81,0.182,Chungho,Taiwan,24.92N,120.59E
1939-06-01,25.435,0.18899999999999997,Chungho,Taiwan,24.92N,120.59E
1939-07-01,26.589000000000002,0.155,Chungho,Taiwan,24.92N,120.59E
1939-08-01,27.245,0.157,Chungho,Taiwan,24.92N,120.59E
1939-09-01,25.561999999999998,0.203,Chungho,Taiwan,24.92N,120.59E
1939-10-01,23.125,0.16399999999999998,Chungho,Taiwan,24.92N,120.59E
1939-11-01,20.462,0.19,Chungho,Taiwan,24.92N,120.59E
1939-12-01,15.403999999999998,0.23399999999999999,Chungho,Taiwan,24.92N,120.59E
1940-01-01,14.272,0.125,Chungho,Taiwan,24.92N,120.59E
1940-02-01,14.597000000000001,0.18899999999999997,Chungho,Taiwan,24.92N,120.59E
1940-03-01,15.252,0.307,Chungho,Taiwan,24.92N,120.59E
1940-04-01,18.573,0.153,Chungho,Taiwan,24.92N,120.59E
1940-05-01,22.138,0.21899999999999997,Chungho,Taiwan,24.92N,120.59E
1940-06-01,25.198,0.153,Chungho,Taiwan,24.92N,120.59E
1940-07-01,27.368000000000002,0.289,Chungho,Taiwan,24.92N,120.59E
1940-08-01,27.14,0.256,Chungho,Taiwan,24.92N,120.59E
1940-09-01,25.962000000000003,0.204,Chungho,Taiwan,24.92N,120.59E
1940-10-01,23.531999999999996,0.22899999999999998,Chungho,Taiwan,24.92N,120.59E
1940-11-01,20.449,0.183,Chungho,Taiwan,24.92N,120.59E
1940-12-01,16.991,0.294,Chungho,Taiwan,24.92N,120.59E
1941-01-01,15.710999999999999,0.36,Chungho,Taiwan,24.92N,120.59E
1941-02-01,15.35,0.29,Chungho,Taiwan,24.92N,120.59E
1941-03-01,16.599999999999998,0.162,Chungho,Taiwan,24.92N,120.59E
1941-04-01,19.182000000000002,0.254,Chungho,Taiwan,24.92N,120.59E
1941-05-01,23.748,0.182,Chungho,Taiwan,24.92N,120.59E
1941-06-01,26.173000000000002,0.20800000000000002,Chungho,Taiwan,24.92N,120.59E
1941-07-01,27.752,0.205,Chungho,Taiwan,24.92N,120.59E
1941-08-01,28.226999999999997,0.157,Chungho,Taiwan,24.92N,120.59E
1941-09-01,26.019,0.149,Chungho,Taiwan,24.92N,120.59E
1941-10-01,23.471999999999998,0.21600000000000003,Chungho,Taiwan,24.92N,120.59E
1941-11-01,20.636,0.185,Chungho,Taiwan,24.92N,120.59E
1941-12-01,17.685,0.23800000000000002,Chungho,Taiwan,24.92N,120.59E
1942-01-01,14.11,0.19899999999999998,Chungho,Taiwan,24.92N,120.59E
1942-02-01,14.655,0.134,Chungho,Taiwan,24.92N,120.59E
1942-03-01,18.364,0.391,Chungho,Taiwan,24.92N,120.59E
1942-04-01,20.187,0.253,Chungho,Taiwan,24.92N,120.59E
1942-05-01,23.458,0.256,Chungho,Taiwan,24.92N,120.59E
1942-06-01,26.581,0.171,Chungho,Taiwan,24.92N,120.59E
1942-07-01,27.533,0.361,Chungho,Taiwan,24.92N,120.59E
1942-08-01,27.664,0.312,Chungho,Taiwan,24.92N,120.59E
1942-09-01,25.932,0.26899999999999996,Chungho,Taiwan,24.92N,120.59E
1942-10-01,23.56,0.155,Chungho,Taiwan,24.92N,120.59E
1942-11-01,20.221,0.243,Chungho,Taiwan,24.92N,120.59E
1942-12-01,15.531,0.282,Chungho,Taiwan,24.92N,120.59E
1943-01-01,13.437000000000001,0.344,Chungho,Taiwan,24.92N,120.59E
1943-02-01,13.894,0.25,Chungho,Taiwan,24.92N,120.59E
1943-03-01,17.288999999999998,0.252,Chungho,Taiwan,24.92N,120.59E
1943-04-01,19.33,0.125,Chungho,Taiwan,24.92N,120.59E
1943-05-01,23.914,0.264,Chungho,Taiwan,24.92N,120.59E
1943-06-01,25.675,0.12300000000000001,Chungho,Taiwan,24.92N,120.59E
1943-07-01,26.886999999999997,0.39,Chungho,Taiwan,24.92N,120.59E
1943-08-01,26.72,0.131,Chungho,Taiwan,24.92N,120.59E
1943-09-01,26.701999999999998,0.24100000000000002,Chungho,Taiwan,24.92N,120.59E
1943-10-01,23.025,0.392,Chungho,Taiwan,24.92N,120.59E
1943-11-01,20.586,0.326,Chungho,Taiwan,24.92N,120.59E
1943-12-01,17.116,0.304,Chungho,Taiwan,24.92N,120.59E
1944-01-01,16.023,0.41200000000000003,Chungho,Taiwan,24.92N,120.59E
1944-02-01,14.045,0.434,Chungho,Taiwan,24.92N,120.59E
1944-03-01,15.477999999999998,0.40700000000000003,Chungho,Taiwan,24.92N,120.59E
1944-04-01,19.693,0.21100000000000002,Chungho,Taiwan,24.92N,120.59E
1944-05-01,23.488000000000003,0.19899999999999998,Chungho,Taiwan,24.92N,120.59E
1944-06-01,25.151,0.19399999999999998,Chungho,Taiwan,24.92N,120.59E
1944-07-01,27.789,0.34,Chungho,Taiwan,24.92N,120.59E
1944-08-01,27.296000000000006,0.254,Chungho,Taiwan,24.92N,120.59E
1944-09-01,26.959000000000003,0.201,Chungho,Taiwan,24.92N,120.59E
1944-10-01,23.895,0.16699999999999998,Chungho,Taiwan,24.92N,120.59E
1944-11-01,21.659000000000002,0.235,Chungho,Taiwan,24.92N,120.59E
1944-12-01,14.438999999999998,0.21899999999999997,Chungho,Taiwan,24.92N,120.59E
1945-01-01,13.566,0.258,Chungho,Taiwan,24.92N,120.59E
1945-02-01,12.154000000000002,0.524,Chungho,Taiwan,24.92N,120.59E
1945-03-01,15.938999999999998,0.5,Chungho,Taiwan,24.92N,120.59E
1945-04-01,19.65,0.27,Chungho,Taiwan,24.92N,120.59E
1945-05-01,21.914,0.27899999999999997,Chungho,Taiwan,24.92N,120.59E
1945-06-01,26.178,0.214,Chungho,Taiwan,24.92N,120.59E
1945-07-01,28.088,0.16699999999999998,Chungho,Taiwan,24.92N,120.59E
1945-08-01,27.353,0.151,Chungho,Taiwan,24.92N,120.59E
1945-09-01,26.561999999999998,0.239,Chungho,Taiwan,24.92N,120.59E
1945-10-01,21.291,0.435,Chungho,Taiwan,24.92N,120.59E
1945-11-01,21.511,0.42700000000000005,Chungho,Taiwan,24.92N,120.59E
1945-12-01,16.455,0.324,Chungho,Taiwan,24.92N,120.59E
1946-01-01,16.151,0.32799999999999996,Chungho,Taiwan,24.92N,120.59E
1946-02-01,15.748,0.446,Chungho,Taiwan,24.92N,120.59E
1946-03-01,17.683,0.299,Chungho,Taiwan,24.92N,120.59E
1946-04-01,21.272,0.439,Chungho,Taiwan,24.92N,120.59E
1946-05-01,23.991000000000003,0.311,Chungho,Taiwan,24.92N,120.59E
1946-06-01,26.415,0.23199999999999998,Chungho,Taiwan,24.92N,120.59E
1946-07-01,27.441,0.16,Chungho,Taiwan,24.92N,120.59E
1946-08-01,27.908,0.151,Chungho,Taiwan,24.92N,120.59E
1946-09-01,27.49,0.26,Chungho,Taiwan,24.92N,120.59E
1946-10-01,22.384,0.254,Chungho,Taiwan,24.92N,120.59E
1946-11-01,20.622,0.297,Chungho,Taiwan,24.92N,120.59E
1946-12-01,16.461,0.222,Chungho,Taiwan,24.92N,120.59E
1947-01-01,15.77,0.198,Chungho,Taiwan,24.92N,120.59E
1947-02-01,12.633,0.242,Chungho,Taiwan,24.92N,120.59E
1947-03-01,15.813999999999998,0.435,Chungho,Taiwan,24.92N,120.59E
1947-04-01,18.962,0.354,Chungho,Taiwan,24.92N,120.59E
1947-05-01,23.413,0.21600000000000003,Chungho,Taiwan,24.92N,120.59E
1947-06-01,24.827,0.306,Chungho,Taiwan,24.92N,120.59E
1947-07-01,27.513,0.196,Chungho,Taiwan,24.92N,120.59E
1947-08-01,27.814,0.213,Chungho,Taiwan,24.92N,120.59E
1947-09-01,26.956000000000003,0.174,Chungho,Taiwan,24.92N,120.59E
1947-10-01,21.971999999999998,0.29,Chungho,Taiwan,24.92N,120.59E
1947-11-01,20.471,0.248,Chungho,Taiwan,24.92N,120.59E
1947-12-01,16.642999999999994,0.155,Chungho,Taiwan,24.92N,120.59E
1948-01-01,13.622,0.43700000000000006,Chungho,Taiwan,24.92N,120.59E
1948-02-01,15.275,0.168,Chungho,Taiwan,24.92N,120.59E
1948-03-01,17.104,0.113,Chungho,Taiwan,24.92N,120.59E
1948-04-01,19.978,0.26,Chungho,Taiwan,24.92N,120.59E
1948-05-01,23.741999999999997,0.26,Chungho,Taiwan,24.92N,120.59E
1948-06-01,26.101999999999997,0.303,Chungho,Taiwan,24.92N,120.59E
1948-07-01,27.588,0.377,Chungho,Taiwan,24.92N,120.59E
1948-08-01,27.904,0.34,Chungho,Taiwan,24.92N,120.59E
1948-09-01,26.586,0.251,Chungho,Taiwan,24.92N,120.59E
1948-10-01,23.421999999999997,0.46299999999999997,Chungho,Taiwan,24.92N,120.59E
1948-11-01,19.054000000000002,0.332,Chungho,Taiwan,24.92N,120.59E
1948-12-01,19.211,0.418,Chungho,Taiwan,24.92N,120.59E
1949-01-01,13.405,0.4,Chungho,Taiwan,24.92N,120.59E
1949-02-01,15.367,0.217,Chungho,Taiwan,24.92N,120.59E
1949-03-01,16.837999999999994,0.27899999999999997,Chungho,Taiwan,24.92N,120.59E
1949-04-01,19.3,0.251,Chungho,Taiwan,24.92N,120.59E
1949-05-01,24.654000000000003,0.226,Chungho,Taiwan,24.92N,120.59E
1949-06-01,25.606,0.255,Chungho,Taiwan,24.92N,120.59E
1949-07-01,27.842,0.345,Chungho,Taiwan,24.92N,120.59E
1949-08-01,27.188,0.28800000000000003,Chungho,Taiwan,24.92N,120.59E
1949-09-01,27.037000000000006,0.222,Chungho,Taiwan,24.92N,120.59E
1949-10-01,23.014,0.134,Chungho,Taiwan,24.92N,120.59E
1949-11-01,20.528000000000002,0.185,Chungho,Taiwan,24.92N,120.59E
1949-12-01,18.093,0.366,Chungho,Taiwan,24.92N,120.59E
1950-01-01,16.351,0.217,Chungho,Taiwan,24.92N,120.59E
1950-02-01,13.744000000000002,0.276,Chungho,Taiwan,24.92N,120.59E
1950-03-01,17.075999999999997,0.294,Chungho,Taiwan,24.92N,120.59E
1950-04-01,19.063,0.32899999999999996,Chungho,Taiwan,24.92N,120.59E
1950-05-01,23.14,0.146,Chungho,Taiwan,24.92N,120.59E
1950-06-01,24.743000000000002,0.301,Chungho,Taiwan,24.92N,120.59E
1950-07-01,27.653000000000002,0.184,Chungho,Taiwan,24.92N,120.59E
1950-08-01,27.116999999999997,0.239,Chungho,Taiwan,24.92N,120.59E
1950-09-01,26.595,0.18600000000000003,Chungho,Taiwan,24.92N,120.59E
1950-10-01,24.131999999999998,0.19,Chungho,Taiwan,24.92N,120.59E
1950-11-01,19.852,0.423,Chungho,Taiwan,24.92N,120.59E
1950-12-01,14.704,0.222,Chungho,Taiwan,24.92N,120.59E
1951-01-01,14.68,0.33,Chungho,Taiwan,24.92N,120.59E
1951-02-01,14.935,0.214,Chungho,Taiwan,24.92N,120.59E
1951-03-01,14.771999999999998,0.28600000000000003,Chungho,Taiwan,24.92N,120.59E
1951-04-01,19.236,0.25,Chungho,Taiwan,24.92N,120.59E
1951-05-01,23.043000000000006,0.22899999999999998,Chungho,Taiwan,24.92N,120.59E
1951-06-01,25.557,0.42,Chungho,Taiwan,24.92N,120.59E
1951-07-01,27.521,0.248,Chungho,Taiwan,24.92N,120.59E
1951-08-01,28.145000000000003,0.16399999999999998,Chungho,Taiwan,24.92N,120.59E
1951-09-01,26.684,0.414,Chungho,Taiwan,24.92N,120.59E
1951-10-01,23.805999999999997,0.297,Chungho,Taiwan,24.92N,120.59E
1951-11-01,20.616,0.38799999999999996,Chungho,Taiwan,24.92N,120.59E
1951-12-01,17.599999999999994,0.223,Chungho,Taiwan,24.92N,120.59E
1952-01-01,14.662,0.22899999999999998,Chungho,Taiwan,24.92N,120.59E
1952-02-01,14.904000000000002,0.23199999999999998,Chungho,Taiwan,24.92N,120.59E
1952-03-01,16.622,0.413,Chungho,Taiwan,24.92N,120.59E
1952-04-01,20.036,0.165,Chungho,Taiwan,24.92N,120.59E
1952-05-01,25.145000000000003,0.192,Chungho,Taiwan,24.92N,120.59E
1952-06-01,26.623,0.215,Chungho,Taiwan,24.92N,120.59E
1952-07-01,27.590999999999998,0.195,Chungho,Taiwan,24.92N,120.59E
1952-08-01,27.833,0.17600000000000002,Chungho,Taiwan,24.92N,120.59E
1952-09-01,26.565,0.204,Chungho,Taiwan,24.92N,120.59E
