03,0.217,Kasugai,Japan,34.56N,136.22E
1989-07-01,24.829,0.263,Kasugai,Japan,34.56N,136.22E
1989-08-01,26.593000000000004,0.318,Kasugai,Japan,34.56N,136.22E
1989-09-01,23.685,0.301,Kasugai,Japan,34.56N,136.22E
1989-10-01,16.634,0.223,Kasugai,Japan,34.56N,136.22E
1989-11-01,12.662,0.152,Kasugai,Japan,34.56N,136.22E
1989-12-01,7.119,0.10300000000000001,Kasugai,Japan,34.56N,136.22E
1990-01-01,4.391,0.22399999999999998,Kasugai,Japan,34.56N,136.22E
1990-02-01,8.019,0.237,Kasugai,Japan,34.56N,136.22E
1990-03-01,9.472000000000001,0.187,Kasugai,Japan,34.56N,136.22E
1990-04-01,13.418,0.107,Kasugai,Japan,34.56N,136.22E
1990-05-01,17.838,0.184,Kasugai,Japan,34.56N,136.22E
1990-06-01,23.04,0.335,Kasugai,Japan,34.56N,136.22E
1990-07-01,26.559,0.245,Kasugai,Japan,34.56N,136.22E
1990-08-01,27.91,0.223,Kasugai,Japan,34.56N,136.22E
1990-09-01,24.123,0.278,Kasugai,Japan,34.56N,136.22E
1990-10-01,17.71,0.26899999999999996,Kasugai,Japan,34.56N,136.22E
1990-11-01,13.794,0.28,Kasugai,Japan,34.56N,136.22E
1990-12-01,7.723,0.22699999999999998,Kasugai,Japan,34.56N,136.22E
1991-01-01,4.602,0.222,Kasugai,Japan,34.56N,136.22E
1991-02-01,4.428999999999999,0.217,Kasugai,Japan,34.56N,136.22E
1991-03-01,9.359,0.18899999999999997,Kasugai,Japan,34.56N,136.22E
1991-04-01,14.175,0.157,Kasugai,Japan,34.56N,136.22E
1991-05-01,17.538,0.177,Kasugai,Japan,34.56N,136.22E
1991-06-01,22.874000000000002,0.11,Kasugai,Japan,34.56N,136.22E
1991-07-01,26.110000000000007,0.32,Kasugai,Japan,34.56N,136.22E
1991-08-01,26.004,0.307,Kasugai,Japan,34.56N,136.22E
1991-09-01,23.838,0.17800000000000002,Kasugai,Japan,34.56N,136.22E
1991-10-01,17.154,0.106,Kasugai,Japan,34.56N,136.22E
1991-11-01,11.667,0.209,Kasugai,Japan,34.56N,136.22E
1991-12-01,8.08,0.147,Kasugai,Japan,34.56N,136.22E
1992-01-01,5.862,0.263,Kasugai,Japan,34.56N,136.22E
1992-02-01,5.218999999999999,0.22,Kasugai,Japan,34.56N,136.22E
1992-03-01,9.625,0.22,Kasugai,Japan,34.56N,136.22E
1992-04-01,13.822,0.263,Kasugai,Japan,34.56N,136.22E
1992-05-01,16.752000000000002,0.2,Kasugai,Japan,34.56N,136.22E
1992-06-01,20.763,0.259,Kasugai,Japan,34.56N,136.22E
1992-07-01,25.434,0.195,Kasugai,Japan,34.56N,136.22E
1992-08-01,26.197,0.201,Kasugai,Japan,34.56N,136.22E
1992-09-01,22.781999999999996,0.24100000000000002,Kasugai,Japan,34.56N,136.22E
1992-10-01,17.076,0.109,Kasugai,Japan,34.56N,136.22E
1992-11-01,11.892000000000001,0.271,Kasugai,Japan,34.56N,136.22E
1992-12-01,7.702999999999999,0.382,Kasugai,Japan,34.56N,136.22E
1993-01-01,5.783,0.171,Kasugai,Japan,34.56N,136.22E
1993-02-01,6.1960000000000015,0.094,Kasugai,Japan,34.56N,136.22E
1993-03-01,7.67,0.203,Kasugai,Japan,34.56N,136.22E
1993-04-01,12.675999999999998,0.115,Kasugai,Japan,34.56N,136.22E
1993-05-01,17.314,0.259,Kasugai,Japan,34.56N,136.22E
1993-06-01,21.151,0.17,Kasugai,Japan,34.56N,136.22E
1993-07-01,23.465,0.064,Kasugai,Japan,34.56N,136.22E
1993-08-01,24.721,0.19,Kasugai,Japan,34.56N,136.22E
1993-09-01,21.555999999999997,0.20199999999999999,Kasugai,Japan,34.56N,136.22E
1993-10-01,16.157,0.162,Kasugai,Japan,34.56N,136.22E
1993-11-01,13.032,0.235,Kasugai,Japan,34.56N,136.22E
1993-12-01,6.915,0.147,Kasugai,Japan,34.56N,136.22E
1994-01-01,4.739,0.22,Kasugai,Japan,34.56N,136.22E
1994-02-01,4.9700000000000015,0.135,Kasugai,Japan,34.56N,136.22E
1994-03-01,7.2620000000000005,0.136,Kasugai,Japan,34.56N,136.22E
1994-04-01,14.753,0.16,Kasugai,Japan,34.56N,136.22E
1994-05-01,19.02,0.126,Kasugai,Japan,34.56N,136.22E
1994-06-01,22.184,0.239,Kasugai,Japan,34.56N,136.22E
1994-07-01,28.065,0.198,Kasugai,Japan,34.56N,136.22E
1994-08-01,28.178,0.217,Kasugai,Japan,34.56N,136.22E
1994-09-01,24.149,0.20600000000000002,Kasugai,Japan,34.56N,136.22E
1994-10-01,18.863,0.091,Kasugai,Japan,34.56N,136.22E
1994-11-01,12.988,0.2,Kasugai,Japan,34.56N,136.22E
1994-12-01,7.718,0.193,Kasugai,Japan,34.56N,136.22E
1995-01-01,4.428999999999999,0.183,Kasugai,Japan,34.56N,136.22E
1995-02-01,5.033,0.106,Kasugai,Japan,34.56N,136.22E
1995-03-01,8.734,0.17300000000000001,Kasugai,Japan,34.56N,136.22E
1995-04-01,12.989,0.207,Kasugai,Japan,34.56N,136.22E
1995-05-01,17.548000000000002,0.19,Kasugai,Japan,34.56N,136.22E
1995-06-01,20.64,0.17800000000000002,Kasugai,Japan,34.56N,136.22E
1995-07-01,25.995,0.315,Kasugai,Japan,34.56N,136.22E
1995-08-01,28.606,0.125,Kasugai,Japan,34.56N,136.22E
1995-09-01,22.388,0.198,Kasugai,Japan,34.56N,136.22E
1995-10-01,17.94,0.091,Kasugai,Japan,34.56N,136.22E
1995-11-01,10.117,0.174,Kasugai,Japan,34.56N,136.22E
1995-12-01,5.257000000000001,0.11699999999999999,Kasugai,Japan,34.56N,136.22E
1996-01-01,4.663,0.18,Kasugai,Japan,34.56N,136.22E
1996-02-01,4.034000000000002,0.06,Kasugai,Japan,34.56N,136.22E
1996-03-01,7.857,0.122,Kasugai,Japan,34.56N,136.22E
1996-04-01,11.177999999999999,0.168,Kasugai,Japan,34.56N,136.22E
1996-05-01,17.758,0.149,Kasugai,Japan,34.56N,136.22E
1996-06-01,21.973000000000003,0.228,Kasugai,Japan,34.56N,136.22E
1996-07-01,26.090999999999998,0.16,Kasugai,Japan,34.56N,136.22E
1996-08-01,26.472,0.18600000000000003,Kasugai,Japan,34.56N,136.22E
1996-09-01,21.855999999999998,0.22,Kasugai,Japan,34.56N,136.22E
1996-10-01,16.827,0.133,Kasugai,Japan,34.56N,136.22E
1996-11-01,12.047,0.17300000000000001,Kasugai,Japan,34.56N,136.22E
1996-12-01,6.857,0.14800000000000002,Kasugai,Japan,34.56N,136.22E
1997-01-01,4.419,0.16,Kasugai,Japan,34.56N,136.22E
1997-02-01,5.032,0.16,Kasugai,Japan,34.56N,136.22E
1997-03-01,9.348,0.20199999999999999,Kasugai,Japan,34.56N,136.22E
1997-04-01,13.845,0.132,Kasugai,Japan,34.56N,136.22E
1997-05-01,18.345,0.18899999999999997,Kasugai,Japan,34.56N,136.22E
1997-06-01,22.04,0.198,Kasugai,Japan,34.56N,136.22E
1997-07-01,25.34,0.18899999999999997,Kasugai,Japan,34.56N,136.22E
1997-08-01,26.67,0.22899999999999998,Kasugai,Japan,34.56N,136.22E
1997-09-01,22.925,0.24100000000000002,Kasugai,Japan,34.56N,136.22E
1997-10-01,16.302,0.212,Kasugai,Japan,34.56N,136.22E
1997-11-01,12.871,0.086,Kasugai,Japan,34.56N,136.22E
1997-12-01,7.587999999999999,0.14800000000000002,Kasugai,Japan,34.56N,136.22E
1998-01-01,4.743,0.16899999999999998,Kasugai,Japan,34.56N,136.22E
1998-02-01,6.992000000000001,0.122,Kasugai,Japan,34.56N,136.22E
1998-03-01,9.549,0.147,Kasugai,Japan,34.56N,136.22E
1998-04-01,16.422,0.182,Kasugai,Japan,34.56N,136.22E
1998-05-01,19.942,0.1,Kasugai,Japan,34.56N,136.22E
1998-06-01,22.003,0.156,Kasugai,Japan,34.56N,136.22E
1998-07-01,26.188,0.19699999999999998,Kasugai,Japan,34.56N,136.22E
1998-08-01,27.738000000000003,0.161,Kasugai,Japan,34.56N,136.22E
1998-09-01,24.128,0.16399999999999998,Kasugai,Japan,34.56N,136.22E
1998-10-01,19.23,0.14400000000000002,Kasugai,Japan,34.56N,136.22E
1998-11-01,12.257,0.14800000000000002,Kasugai,Japan,34.56N,136.22E
1998-12-01,8.156,0.217,Kasugai,Japan,34.56N,136.22E
1999-01-01,5.022,0.166,Kasugai,Japan,34.56N,136.22E
1999-02-01,4.862,0.168,Kasugai,Japan,34.56N,136.22E
1999-03-01,9.783,0.159,Kasugai,Japan,34.56N,136.22E
1999-04-01,13.458,0.19699999999999998,Kasugai,Japan,34.56N,136.22E
1999-05-01,18.863,0.113,Kasugai,Japan,34.56N,136.22E
1999-06-01,22.147,0.19399999999999998,Kasugai,Japan,34.56N,136.22E
1999-07-01,25.331000000000003,0.18600000000000003,Kasugai,Japan,34.56N,136.22E
1999-08-01,27.129,0.2,Kasugai,Japan,34.56N,136.22E
1999-09-01,25.217,0.184,Kasugai,Japan,34.56N,136.22E
1999-10-01,18.464,0.217,Kasugai,Japan,34.56N,136.22E
1999-11-01,12.503,0.083,Kasugai,Japan,34.56N,136.22E
1999-12-01,6.727,0.14400000000000002,Kasugai,Japan,34.56N,136.22E
2000-01-01,5.907,0.138,Kasugai,Japan,34.56N,136.22E
2000-02-01,3.786000000000001,0.16,Kasugai,Japan,34.56N,136.22E
2000-03-01,7.846999999999999,0.153,Kasugai,Japan,34.56N,136.22E
2000-04-01,13.072,0.14400000000000002,Kasugai,Japan,34.56N,136.22E
2000-05-01,18.905,0.16699999999999998,Kasugai,Japan,34.56N,136.22E
2000-06-01,21.853,0.179,Kasugai,Japan,34.56N,136.22E
2000-07-01,26.909,0.233,Kasugai,Japan,34.56N,136.22E
2000-08-01,27.559,0.40700000000000003,Kasugai,Japan,34.56N,136.22E
2000-09-01,23.831999999999997,0.17300000000000001,Kasugai,Japan,34.56N,136.22E
2000-10-01,18.058,0.136,Kasugai,Japan,34.56N,136.22E
2000-11-01,13.248,0.172,Kasugai,Japan,34.56N,136.22E
2000-12-01,7.0360000000000005,0.226,Kasugai,Japan,34.56N,136.22E
2001-01-01,3.8560000000000003,0.225,Kasugai,Japan,34.56N,136.22E
2001-02-01,5.606000000000001,0.146,Kasugai,Japan,34.56N,136.22E
2001-03-01,8.503,0.124,Kasugai,Japan,34.56N,136.22E
2001-04-01,13.935,0.107,Kasugai,Japan,34.56N,136.22E
2001-05-01,18.926,0.126,Kasugai,Japan,34.56N,136.22E
2001-06-01,22.537,0.213,Kasugai,Japan,34.56N,136.22E
2001-07-01,27.416999999999998,0.121,Kasugai,Japan,34.56N,136.22E
2001-08-01,26.724,0.239,Kasugai,Japan,34.56N,136.22E
2001-09-01,22.616999999999997,0.21600000000000003,Kasugai,Japan,34.56N,136.22E
2001-10-01,17.660999999999998,0.145,Kasugai,Japan,34.56N,136.22E
2001-11-01,11.413,0.19,Kasugai,Japan,34.56N,136.22E
2001-12-01,6.489,0.203,Kasugai,Japan,34.56N,136.22E
2002-01-01,5.496,0.222,Kasugai,Japan,34.56N,136.22E
2002-02-01,6.166,0.154,Kasugai,Japan,34.56N,136.22E
2002-03-01,10.441,0.18100000000000002,Kasugai,Japan,34.56N,136.22E
2002-04-01,15.120999999999999,0.13,Kasugai,Japan,34.56N,136.22E
2002-05-01,18.472,0.08199999999999999,Kasugai,Japan,34.56N,136.22E
2002-06-01,22.089000000000002,0.14300000000000002,Kasugai,Japan,34.56N,136.22E
2002-07-01,27.125,0.193,Kasugai,Japan,34.56N,136.22E
2002-08-01,27.25,0.16699999999999998,Kasugai,Japan,34.56N,136.22E
2002-09-01,23.259,0.18899999999999997,Kasugai,Japan,34.56N,136.22E
2002-10-01,17.132,0.20800000000000002,Kasugai,Japan,34.56N,136.22E
2002-11-01,9.531,0.105,Kasugai,Japan,34.56N,136.22E
2002-12-01,6.678999999999999,0.14,Kasugai,Japan,34.56N,136.22E
2003-01-01,3.869,0.18100000000000002,Kasugai,Japan,34.56N,136.22E
2003-02-01,5.8740000000000006,0.23800000000000002,Kasugai,Japan,34.56N,136.22E
2003-03-01,7.755,0.19699999999999998,Kasugai,Japan,34.56N,136.22E
2003-04-01,14.275,0.336,Kasugai,Japan,34.56N,136.22E
2003-05-01,18.487,0.228,Kasugai,Japan,34.56N,136.22E
2003-06-01,21.995,0.315,Kasugai,Japan,34.56N,136.22E
2003-07-01,23.644,0.23199999999999998,Kasugai,Japan,34.56N,136.22E
2003-08-01,26.451,0.24,Kasugai,Japan,34.56N,136.22E
2003-09-01,24.086,0.253,Kasugai,Japan,34.56N,136.22E
2003-10-01,16.364,0.317,Kasugai,Japan,34.56N,136.22E
2003-11-01,14.21,0.218,Kasugai,Japan,34.56N,136.22E
2003-12-01,7.215,0.18899999999999997,Kasugai,Japan,34.56N,136.22E
2004-01-01,4.364,0.22899999999999998,Kasugai,Japan,34.56N,136.22E
2004-02-01,6.597,0.14800000000000002,Kasugai,Japan,34.56N,136.22E
2004-03-01,8.908999999999999,0.18600000000000003,Kasugai,Japan,34.56N,136.22E
2004-04-01,14.889000000000001,0.259,Kasugai,Japan,34.56N,136.22E
2004-05-01,19.428,0.182,Kasugai,Japan,34.56N,136.22E
2004-06-01,23.191,0.31,Kasugai,Japan,34.56N,136.22E
2004-07-01,27.658,0.228,Kasugai,Japan,34.56N,136.22E
2004-08-01,26.636999999999997,0.237,Kasugai,Japan,34.56N,136.22E
2004-09-01,24.430999999999997,0.152,Kasugai,Japan,34.56N,136.22E
2004-10-01,17.621000000000006,0.222,Kasugai,Japan,34.56N,136.22E
2004-11-01,13.623,0.187,Kasugai,Japan,34.56N,136.22E
2004-12-01,8.552,0.151,Kasugai,Japan,34.56N,136.22E
2005-01-01,4.6610000000000005,0.113,Kasugai,Japan,34.56N,136.22E
2005-02-01,5.117000000000001,0.16699999999999998,Kasugai,Japan,34.56N,136.22E
2005-03-01,7.997000000000001,0.213,Kasugai,Japan,34.56N,136.22E
2005-04-01,14.49,0.204,Kasugai,Japan,34.56N,136.22E
2005-05-01,17.809,0.155,Kasugai,Japan,34.56N,136.22E
2005-06-01,23.187,0.192,Kasugai,Japan,34.56N,136.22E
2005-07-01,25.811,0.125,Kasugai,Japan,34.56N,136.22E
2005-08-01,26.998,0.145,Kasugai,Japan,34.56N,136.22E
2005-09-01,24.371,0.11699999999999999,Kasugai,Japan,34.56N,136.22E
2005-10-01,18.183,0.145,Kasugai,Japan,34.56N,136.22E
2005-11-01,11.720999999999998,0.215,Kasugai,Japan,34.56N,136.22E
2005-12-01,4.008,0.22,Kasugai,Japan,34.56N,136.22E
2006-01-01,4.0889999999999995,0.24100000000000002,Kasugai,Japan,34.56N,136.22E
2006-02-01,5.718999999999999,0.12300000000000001,Kasugai,Japan,34.56N,136.22E
2006-03-01,7.6160000000000005,0.23800000000000002,Kasugai,Japan,34.56N,136.22E
2006-04-01,12.41,0.35,Kasugai,Japan,34.56N,136.22E
2006-05-01,18.132,0.28300000000000003,Kasugai,Japan,34.56N,136.22E
2006-06-01,22.333000000000002,0.242,Kasugai,Japan,34.56N,136.22E
2006-07-01,25.53,0.19,Kasugai,Japan,34.56N,136.22E
2006-08-01,27.538,0.324,Kasugai,Japan,34.56N,136.22E
2006-09-01,23.003,0.18100000000000002,Kasugai,Japan,34.56N,136.22E
2006-10-01,18.573,0.174,Kasugai,Japan,34.56N,136.22E
2006-11-01,12.933,0.24,Kasugai,Japan,34.56N,136.22E
2006-12-01,7.476,0.247,Kasugai,Japan,34.56N,136.22E
2007-01-01,6.023,0.244,Kasugai,Japan,34.56N,136.22E
